customer_name,customer_phone,product_name,quantity,unit_price,discount,paid_amount,sale_date
Sultana Rahman,01786554926,Olympic Biscuit 300g Pack,3,62.0,0.0,186.0,2025-05-05
Mannan Ahmed,01717087735,Farm Fresh Eggs White (Dozen),2,141.0,0.0,112.8,2025-05-05
Mannan Ahmed,01717087735,Clove (Lobongo) 25g Pack,2,118.0,0.0,94.4,2025-05-05
Neela Hossain,01792158192,Pran Mixed Pickles 400g Jar,6,165.0,0.0,693.0,2025-05-05
Neela Hossain,01792158192,Radhuni Garam Masala 50g Pack,2,90.0,0.0,126.0,2025-05-05
Jabbar Uddin,01768383397,Fresh Cheese 250g Pack,6,200.0,0.0,1200.0,2025-05-05
Jabbar Uddin,01768383397,Fresh Sugar 1kg Pack,4,87.0,0.0,348.0,2025-05-05
Jabbar Uddin,01768383397,Radhuni Chili Sauce 340g Bottle,5,115.0,0.0,575.0,2025-05-05
Rashed Uddin,01741514213,Spinach (Pui Shak) Loose,4,38.0,20.0,92.4,2025-05-05
Asma Das,01777110455,Pran Masala Powder 200g Pack,3,168.0,0.0,504.0,2025-05-05
Asma Das,01777110455,Farm Fresh Eggs Brown (Dozen),6,155.0,0.0,930.0,2025-05-05
Nipu Uddin,01769683068,Teer Atta 1kg Pack,2,72.0,10.0,134.0,2025-05-05
Tasnia Hossain,01779574454,Mustard Seeds 100g Pack,3,75.0,0.0,225.0,2025-05-05
Tasnia Hossain,01779574454,Radhuni Cumin Powder 100g Pack,4,95.0,0.0,380.0,2025-05-05
Tasnia Hossain,01779574454,Rupchanda Soyabean Oil 1L Bottle,6,189.0,0.0,1134.0,2025-05-05
Rashed Uddin,01741514213,Kazi Farms Eggs (Dozen),5,148.0,2.5,514.5,2025-05-06
Rashed Uddin,01741514213,Radhuni BBQ Sauce 340g Bottle,5,135.0,2.5,469.0,2025-05-06
Rahima Roy,01711470400,Pran Fried Onion 200g Pack,4,145.0,0.0,580.0,2025-05-06
Rahima Roy,01711470400,Mug Dal (Green Gram) Loose,5,155.0,0.0,775.0,2025-05-06
Rahima Roy,01711470400,Pran Masala Powder 100g Pack,5,85.0,0.0,425.0,2025-05-06
Shamima Khan,01775302980,Fresh Brown Bread 400g Loaf,5,55.0,20.0,102.0,2025-05-06
Tasnia Hossain,01779574454,Miniket Rice (BRRI-28) Loose,2,78.0,0.0,156.0,2025-05-06
Tasnia Hossain,01779574454,ACI Pure Paneer 200g Pack,3,165.0,0.0,495.0,2025-05-06
Tasnia Hossain,01779574454,Shutki (Dried Fish),1,310.0,0.0,310.0,2025-05-06
Rashed Uddin,01741514213,Radhuni Mustard Oil 5L Bottle,5,975.0,1.67,3409.0,2025-05-06
Rashed Uddin,01741514213,Anchor Butter 227g Pack,5,315.0,1.67,1099.0,2025-05-06
Rashed Uddin,01741514213,Pran Noodles 350g Pack,1,42.0,1.67,25.9,2025-05-06
Tamim Islam,01741393866,Kazi Farms Eggs (Dozen),1,148.0,10.0,128.0,2025-05-06
Tamim Islam,01741393866,Olympic Biscuit 300g Pack,2,62.0,10.0,104.0,2025-05-06
Jabbar Chowdhury,01746557544,Country Eggs (Dozen),1,170.0,0.0,170.0,2025-05-06
Jabbar Chowdhury,01746557544,Motor Dal (Peas) Loose,5,118.0,0.0,590.0,2025-05-06
Tasnia Uddin,01721472996,Rupchanda Soyabean Oil 5L Bottle,5,945.0,0.0,4725.0,2025-05-06
Rashed Begum,01791208886,Pran Ghee 500g Jar,3,850.0,5.0,2545.0,2025-05-06
Tasnia Hossain,01779574454,Chola Dal (Chickpeas) Loose,1,128.0,0.0,89.6,2025-05-06
Karim Begum,01762527815,Cake Rusk 300g Pack,4,75.0,0.0,210.0,2025-05-06
Karim Begum,01762527815,ACI Pure Atta 2kg Pack,1,140.0,0.0,98.0,2025-05-06
Karim Begum,01762527815,Coca Cola 250ml Bottle,1,25.0,0.0,17.5,2025-05-06
Fatema Hossain,01757271259,Pran Yogurt 500g Tub,1,95.0,0.0,95.0,2025-05-06
Fatema Hossain,01757271259,Duck Eggs (Dozen),6,180.0,0.0,1080.0,2025-05-06
Fatema Hossain,01757271259,Fresh Soyabean Oil 1L Bottle,5,185.0,0.0,925.0,2025-05-06
Karim Begum,01762527815,Pran Yogurt 80g Cup,5,18.0,10.0,80.0,2025-05-06
Mannan Mia,01795672874,Fanta 250ml Bottle,6,25.0,0.0,105.0,2025-05-06
Halim Ali,01756524028,Tiger Energy Drink 250ml,5,75.0,0.0,375.0,2025-05-06
Halim Ali,01756524028,7UP 250ml Bottle,4,25.0,0.0,100.0,2025-05-06
Jabbar Uddin,01768383397,Motor Dal (Peas) Loose,1,118.0,5.0,113.0,2025-05-06
Nafisa Siddique,01728624916,Desi Chicken (Country),5,520.0,6.67,2580.0,2025-05-06
Nafisa Siddique,01728624916,BR-28 Rice Loose,6,65.0,6.67,370.0,2025-05-06
Nafisa Siddique,01728624916,Dano Milk Powder 350g Pack,6,348.0,6.67,2068.0,2025-05-06
Rahima Roy,01711470400,Pran Masala Powder 200g Pack,2,168.0,5.0,326.0,2025-05-06
Rahima Roy,01711470400,Farm Fresh Eggs White (Dozen),1,141.0,5.0,131.0,2025-05-06
Rahima Sheikh,01782518935,Pran Mango Pickles 400g Jar,6,158.0,20.0,928.0,2025-05-06
Jabbar Sarkar,01741413978,Radhuni Chili Powder 200g Pack,5,158.0,20.0,770.0,2025-05-06
Sultana Chowdhury,01710082263,Red Bull Energy Drink 250ml,1,195.0,1.67,190.0,2025-05-06
Sultana Chowdhury,01710082263,Sugar Loose,4,86.0,1.67,339.0,2025-05-06
Sultana Chowdhury,01710082263,Icing Sugar 200g Pack,2,58.0,1.67,111.0,2025-05-06
Mannan Karim,01789670176,Cinnamon (Daruchini) 50g Pack,3,98.0,0.0,294.0,2025-05-06
Rashed Ali,01763278908,Rui Fish Frozen,6,385.0,0.0,1617.0,2025-05-06
Mannan Mia,01795672874,Sprite 250ml Bottle,5,25.0,3.33,46.0,2025-05-06
Mannan Mia,01795672874,Radhuni Chili Sauce 340g Bottle,2,115.0,3.33,88.0,2025-05-06
Mannan Mia,01795672874,Cardamom (Elachi) 20g Pack,5,215.0,3.33,426.0,2025-05-06
Abdul Karim,01739674811,Rupchanda Soyabean Oil 1L Bottle,4,189.0,2.5,751.0,2025-05-06
Abdul Karim,01739674811,Shrimp (Chingri) Frozen,3,660.0,2.5,1975.0,2025-05-06
Sumaiya Hossain,01794969013,Indomie Noodles 5-Pack,5,102.0,0.0,510.0,2025-05-06
Sumaiya Hossain,01794969013,Radhuni BBQ Sauce 340g Bottle,1,135.0,0.0,135.0,2025-05-06
Mannan Karim,01789670176,Country Eggs (Dozen),6,170.0,0.0,1020.0,2025-05-06
Mannan Karim,01789670176,Fennel Seeds (Mouri) 100g Pack,1,90.0,5.0,85.0,2025-05-06
Karim Karim,01739230583,Sprite 250ml Bottle,5,25.0,0.0,125.0,2025-05-06
Rashed Begum,01791208886,Maida (Refined Flour) Loose,6,68.0,20.0,388.0,2025-05-06
Rafiq Ali,01799688158,Coca Cola 250ml Bottle,2,25.0,5.0,28.0,2025-05-06
Rafiq Ali,01799688158,Coriander Seeds 100g Pack,6,65.0,5.0,266.0,2025-05-06
Rashed Uddin,01741514213,Cucumber Loose,2,48.0,0.0,96.0,2025-05-06
Jannat Sarkar,01784870614,Bottle Gourd (Lau) Loose,6,48.0,5.0,283.0,2025-05-06
Mannan Mia,01795672874,Milk Vita 1L Pack,1,112.0,0.0,112.0,2025-05-06
Mannan Mia,01795672874,Fresh Atta 1kg Pack,1,70.0,0.0,70.0,2025-05-06
Halim Ali,01756524028,Local Beef,5,750.0,0.0,3750.0,2025-05-06
Jannat Sarkar,01784870614,Sundarbans Honey 500g Bottle,2,580.0,5.0,808.5,2025-05-06
Mannan Ahmed,01717087735,Pran Chanachur 400g Pack,3,88.0,0.0,264.0,2025-05-06
Mannan Ahmed,01717087735,Radhuni Mustard Oil 1L Bottle,1,195.0,0.0,195.0,2025-05-06
Mannan Ahmed,01717087735,Pran Mango Pickles 400g Jar,4,158.0,0.0,632.0,2025-05-06
Tamim Begum,01720483208,Fresh Brown Bread 400g Loaf,1,55.0,0.0,38.5,2025-05-06
Jabbar Rahman,01711619648,Pran Masala Powder 100g Pack,4,85.0,5.0,330.0,2025-05-06
Jabbar Rahman,01711619648,Cake Rusk 300g Pack,6,75.0,5.0,440.0,2025-05-06
Jabbar Uddin,01768383397,Pran Masala Powder 100g Pack,5,85.0,0.0,425.0,2025-05-06
Jabbar Das,01748196696,Sprite 1L Bottle,3,85.0,0.0,255.0,2025-05-06
Rafiq Ali,01799688158,Pran Milk Powder 500g Pack,2,475.0,0.0,950.0,2025-05-06
Asma Das,01777110455,Shrimp (Chingri) Frozen,4,660.0,6.67,2620.0,2025-05-06
Asma Das,01777110455,Radhuni Mustard Oil 1L Bottle,5,195.0,6.67,955.0,2025-05-06
Asma Das,01777110455,Broiler Chicken Frozen,5,310.0,6.67,1530.0,2025-05-06
Neela Islam,01735021466,Molasses (Gur) 500g,2,55.0,6.67,90.0,2025-05-06
Neela Islam,01735021466,Suji Loose,1,105.0,6.67,85.0,2025-05-06
Neela Islam,01735021466,Chinigura Rice 1kg Pack,6,165.0,6.67,970.0,2025-05-06
Tasnia Hossain,01779574454,Teer Sugar 1kg Pack,4,88.0,20.0,332.0,2025-05-06
Halim Ali,01756524028,ACI Vermicelli 500g Pack,3,135.0,0.0,405.0,2025-05-06
Jabbar Chowdhury,01746557544,Radhuni Meat Curry Masala 100g Pack,6,88.0,10.0,518.0,2025-05-06
Nasrin Begum,01731545867,Chinigura Rice Loose,2,165.0,0.0,330.0,2025-05-06
Mushfiq Hossain,01731008303,Pran Chanachur 400g Pack,6,88.0,6.67,508.0,2025-05-06
Mushfiq Hossain,01731008303,Pumpkin (Misti Kumra) Loose,3,42.0,6.67,106.0,2025-05-06
Mushfiq Hossain,01731008303,Maida (Refined Flour) Loose,3,68.0,6.67,184.0,2025-05-06
Rashed Begum,01791208886,Radhuni Fish Curry Masala 100g Pack,1,88.0,0.0,88.0,2025-05-06
Rashed Begum,01791208886,Nazirshail Rice Loose,1,92.0,0.0,92.0,2025-05-06
Jannat Sarkar,01784870614,Cardamom (Elachi) 20g Pack,5,215.0,0.0,1075.0,2025-05-06
Sumaiya Hossain,01794969013,Fresh Sugar 1kg Pack,4,87.0,0.0,348.0,2025-05-06
Shamima Hossain,01751962015,Cumin Seeds (Jeera) 100g Pack,2,102.0,2.5,139.3,2025-05-06
Shamima Hossain,01751962015,Teer Dal (Lentils) Loose,6,135.0,2.5,563.5,2025-05-06
Fatema Hossain,01757271259,Sandwich Bread 350g Loaf,3,52.0,20.0,54.4,2025-05-07
Sabbir Ahmed,01783569459,Radhuni Meat Curry Masala 100g Pack,2,88.0,5.0,68.4,2025-05-07
Rashed Begum,01791208886,Radhuni Cumin Powder 100g Pack,3,95.0,0.0,285.0,2025-05-07
Sumaiya Hossain,01794969013,Nazirshail Rice 5kg Pack,5,460.0,10.0,2280.0,2025-05-07
Sumaiya Hossain,01794969013,Coriander Leaves Loose,3,45.0,10.0,115.0,2025-05-07
Amina Das,01736315966,BD Salt 1kg Pack,4,35.0,2.5,135.0,2025-05-07
Amina Das,01736315966,Lexus Biscuit 200g Pack,5,42.0,2.5,205.0,2025-05-07
Sultana Sarkar,01786658248,Farm Fresh Eggs Brown (Dozen),5,155.0,10.0,528.5,2025-05-07
Sultana Sarkar,01786658248,CP Eggs (Dozen),4,145.0,10.0,392.0,2025-05-07
Neela Hossain,01792158192,Pran Fried Onion 200g Pack,1,145.0,3.33,94.5,2025-05-07
Neela Hossain,01792158192,Radish (Mula) Loose,6,35.0,3.33,140.0,2025-05-07
Neela Hossain,01792158192,ACI Vermicelli 200g Pack,3,55.0,3.33,108.5,2025-05-07
Rahim Das,01797849777,Pran Masala Powder 100g Pack,6,85.0,10.0,500.0,2025-05-07
Tasnia Hossain,01779574454,Coriander Seeds 100g Pack,3,65.0,0.0,195.0,2025-05-07
Rahim Das,01797849777,Coriander Leaves Loose,4,45.0,20.0,160.0,2025-05-07
Rashed Uddin,01741514213,Pran Ghee 500g Jar,2,850.0,5.0,1695.0,2025-05-07
Karim Begum,01762527815,ACI Pure Paneer 200g Pack,2,165.0,0.0,231.0,2025-05-07
Karim Begum,01762527815,ACI Vermicelli 500g Pack,4,135.0,0.0,378.0,2025-05-07
Karim Begum,01762527815,Pran Milk 1L Pack,1,108.0,0.0,75.6,2025-05-07
Shakib Ahmed,01764598478,Fresh Ghee 1kg Jar,6,1700.0,0.0,10200.0,2025-05-07
Shakib Ahmed,01764598478,RC Cola 250ml Bottle,3,23.0,0.0,69.0,2025-05-07
Shakib Ahmed,01764598478,Radhuni Meat Curry Masala 100g Pack,4,88.0,0.0,352.0,2025-05-07
Mannan Karim,01789670176,Suji Loose,4,105.0,0.0,420.0,2025-05-07
Mannan Karim,01789670176,Broiler Chicken Frozen,5,310.0,0.0,1550.0,2025-05-07
Jabbar Sarkar,01741413978,Fresh Toast Biscuit 300g Pack,6,65.0,0.0,156.0,2025-05-07
Jabbar Das,01748196696,Radhuni Mustard Oil 5L Bottle,6,975.0,5.0,5845.0,2025-05-07
Tamim Begum,01720483208,Brown Sugar 500g Pack,1,75.0,0.0,75.0,2025-05-07
Tamim Begum,01720483208,Teer Atta 2kg Pack,6,144.0,0.0,864.0,2025-05-07
Mannan Karim,01789670176,Fresh Vermicelli 200g Pack,4,52.0,0.0,208.0,2025-05-07
Mannan Karim,01789670176,Radhuni Turmeric Powder 100g Pack,5,75.0,0.0,375.0,2025-05-07
Mannan Ahmed,01717087735,Radhuni Salt 1kg Pack,2,35.0,6.67,35.0,2025-05-07
Mannan Ahmed,01717087735,Mustard Seeds 100g Pack,3,75.0,6.67,143.5,2025-05-07
Mannan Ahmed,01717087735,Pran Chanachur 400g Pack,4,88.0,6.67,232.4,2025-05-07
Sultana Khan,01757890162,Meghna Sugar 1kg Pack,6,89.0,20.0,205.6,2025-05-07
Jabbar Das,01748196696,Besan (Gram Flour) Loose,1,120.0,0.0,120.0,2025-05-07
Mannan Mia,01795672874,Fresh Brown Bread 400g Loaf,1,55.0,5.0,50.0,2025-05-07
Jabbar Uddin,01768383397,Cauliflower Loose,1,52.0,2.5,32.9,2025-05-07
Jabbar Uddin,01768383397,Clove (Lobongo) 25g Pack,4,118.0,2.5,326.9,2025-05-07
Abdul Chowdhury,01764263925,Pran Masala Powder 100g Pack,4,85.0,0.0,340.0,2025-05-07
Abdul Chowdhury,01764263925,Green Chili Loose,5,120.0,0.0,600.0,2025-05-07
Sultana Khan,01757890162,Rupchanda Soyabean Oil 1L Bottle,5,189.0,0.0,945.0,2025-05-07
Sultana Sarkar,01786658248,Katla Fish Frozen,1,360.0,6.67,340.0,2025-05-07
Sultana Sarkar,01786658248,CP Eggs (Dozen),6,145.0,6.67,850.0,2025-05-07
Sultana Sarkar,01786658248,Sugar Loose,6,86.0,6.67,496.0,2025-05-07
Mannan Karim,01789670176,Cinnamon (Daruchini) 50g Pack,3,98.0,0.0,294.0,2025-05-07
Neela Hossain,01792158192,Cake Rusk 300g Pack,4,75.0,3.33,116.0,2025-05-07
Neela Hossain,01792158192,Pran Mango Juice 250ml Bottle,5,35.0,3.33,66.0,2025-05-07
Neela Hossain,01792158192,Fresh Atta 1kg Pack,5,70.0,3.33,136.0,2025-05-07
Rahima Sheikh,01782518935,7UP 250ml Bottle,5,25.0,10.0,46.0,2025-05-07
Farzana Islam,01790359038,Eggplant (Begun) Loose,2,55.0,2.5,105.0,2025-05-07
Farzana Islam,01790359038,Rupchanda Soyabean Oil 1L Bottle,6,189.0,2.5,1129.0,2025-05-07
Tamim Islam,01741393866,Paijam Rice Loose,3,63.0,5.0,184.0,2025-05-07
Halim Ali,01756524028,Cornflour 200g Pack,4,48.0,0.0,192.0,2025-05-07
Tasnia Uddin,01721472996,Indomie Noodles 5-Pack,6,102.0,20.0,592.0,2025-05-07
Jabbar Chowdhury,01746557544,BR-28 Rice Loose,5,65.0,0.0,325.0,2025-05-07
Karim Karim,01739230583,Kazi Farms Eggs (Dozen),3,148.0,20.0,424.0,2025-05-07
Jabbar Uddin,01768383397,Pran Sugar 1kg Pack,4,88.0,0.0,352.0,2025-05-07
Jabbar Uddin,01768383397,Coca Cola 250ml Bottle,2,25.0,0.0,50.0,2025-05-07
Sumaiya Akter,01738514760,Radhuni Fish Curry Masala 100g Pack,2,88.0,6.67,109.2,2025-05-07
Sumaiya Akter,01738514760,Mustard Seeds 100g Pack,2,75.0,6.67,91.0,2025-05-07
Sumaiya Akter,01738514760,Carrot Loose,5,62.0,6.67,203.0,2025-05-07
Rashed Das,01729318518,Tiger Energy Drink 250ml,5,75.0,10.0,355.0,2025-05-07
Rashed Das,01729318518,Pran Masala Powder 200g Pack,5,168.0,10.0,820.0,2025-05-07
Rafiq Ali,01799688158,Pran Masala Powder 200g Pack,6,168.0,10.0,998.0,2025-05-07
Rashed Das,01729318518,Farm Fresh Eggs Brown (Dozen),3,155.0,2.5,460.0,2025-05-07
Rashed Das,01729318518,Teer Soyabean Oil 1L Bottle,6,189.0,2.5,1129.0,2025-05-07
Fatema Hossain,01757271259,Cornflour 200g Pack,6,48.0,5.0,283.0,2025-05-07
Sultana Chowdhury,01710082263,Radhuni Ghee 200g Jar,1,335.0,2.5,231.0,2025-05-07
Sultana Chowdhury,01710082263,Shrimp (Chingri) Frozen,1,660.0,2.5,458.5,2025-05-07
Neela Hossain,01792158192,Katari Bhog Rice Loose,4,170.0,1.67,675.0,2025-05-07
Neela Hossain,01792158192,Sugar Loose,3,86.0,1.67,253.0,2025-05-07
Neela Hossain,01792158192,Rui Fish Frozen,6,385.0,1.67,2305.0,2025-05-07
Shamima Hossain,01751962015,Coca Cola 1L Bottle,5,85.0,10.0,290.5,2025-05-07
Karim Akter,01791709120,Pran Mango Juice 1L Bottle,5,120.0,10.0,580.0,2025-05-07
Karim Akter,01791709120,Pran Tamarind Chutney 200g Bottle,4,190.0,10.0,740.0,2025-05-07
Tamim Begum,01720483208,Lays Chips 50g Pack,6,25.0,0.0,150.0,2025-05-07
Tamim Begum,01720483208,Green Tea 25 Bags Pack,4,125.0,0.0,500.0,2025-05-07
Tamim Begum,01720483208,Red Onion Loose,3,66.0,0.0,198.0,2025-05-07
Rahima Sheikh,01782518935,Fresh Milk 500ml Bottle,1,52.0,0.0,52.0,2025-05-07
